Latitude,Longitude,City,Metropolitan Statistical Area,Average Daily Rate (USD),Annual Revenue LTM (USD),Airbnb Superhost,Occupancy Rate LTM,Airbnb Host ID,Property ID,Property Type
18.45076,-66.05965,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",50.63,9670,FALSE,0.565,238473106,ab-35140941,Apartment
18.45056,-66.05474,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",80.4,7156,TRUE,0.524,71330551,ab-35145934,Apartment
18.45036,-66.05637,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",134.2,12615,FALSE,0.618,34138589,ab-35149345,House
18.11749,-67.18383,NA,"San Germán, PR Metro Area",338.85,44389,TRUE,0.512,190336799,ab-35151149,House
18.46722,-66.11683,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",326.24,28709,TRUE,0.371,262980557,ab-35154139,Apartment
18.4525,-66.05766,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",96.61,15167,FALSE,0.446,35936946,ab-35155009,Apartment
18.40041,-66.0924,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",70.82,3470,TRUE,0.325,81974637,ab-35155877,Apartment
18.40152,-66.16262,Bayamon,"San Juan-Carolina-Caguas, PR Metro Area",35,245,FALSE,0.226,228560445,ab-35156116,House
18.46659,-66.11572,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",120.89,19705,TRUE,0.492,262980557,ab-35157428,Apartment
18.15438,-65.44372,Vieques,NA,204.23,26958,FALSE,0.564,38282684,ab-35163101,House
18.08834,-67.14752,Cabo Rojo,"San Germán, PR Metro Area",186.49,8019,FALSE,0.177,257584131,ab-35163868,Apartment
18.24437,-66.03555,Caguas,"San Juan-Carolina-Caguas, PR Metro Area",95.62,765,FALSE,0.258,256313738,ab-35165312,Apartment
18.4406,-66.05462,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,98213016,ab-35166128,Apartment
18.42458,-65.83831,Loiza,"San Juan-Carolina-Caguas, PR Metro Area",205.47,15205,FALSE,0.323,237115093,ab-35166349,Apartment
18.24447,-66.03418,Caguas,"San Juan-Carolina-Caguas, PR Metro Area",120.22,7814,FALSE,0.2,256313738,ab-35166626,Loft
18.49994,-67.02412,Isabela,"Aguadilla-Isabela, PR Metro Area",70.5,9940,TRUE,0.39,262142272,ab-35166986,Room in boutique hotel
18.49972,-67.02321,Isabela,"Aguadilla-Isabela, PR Metro Area",64.13,9107,TRUE,0.41,262142272,ab-35168053,Room in boutique hotel
18.468,-66.115,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",189.98,38376,TRUE,0.662,205028679,ab-35173053,Apartment
18.45624,-66.0813,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",116.46,22826,TRUE,0.751,122369992,ab-35176818,Apartment
18.47593,-66.26392,Dorado,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,FALSE,NA,264916469,ab-35178749,House
18.49006,-66.39695,Vega Baja,"San Juan-Carolina-Caguas, PR Metro Area",249.47,33180,TRUE,0.398,235473628,ab-35184445,Apartment
17.98264,-66.63324,Ponce,"Ponce, PR Metro Area",49.26,2266,TRUE,0.238,263670618,ab-35184713,Camper/RV
17.98192,-66.63473,Ponce,"Ponce, PR Metro Area",61.68,3639,TRUE,0.199,263670618,ab-35185749,Camper/RV
18.44742,-66.03466,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",85.02,16749,FALSE,0.608,251939325,ab-35186409,Room in boutique hotel
18.44567,-66.0346,Carolina,"San Juan-Carolina-Caguas, PR Metro Area",68.61,12898,FALSE,0.588,251939325,ab-35186629,Room in boutique hotel
18.44612,-66.07512,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",66.89,9231,FALSE,0.519,14908529,ab-35187058,Apartment
18.48974,-66.39716,Vega Baja,"San Juan-Carolina-Caguas, PR Metro Area",NA,0,TRUE,NA,235473628,ab-35187170,Apartment
18.46643,-66.1158,San Juan,"San Juan-Carolina-Caguas, PR Metro Area",133.32,7599,FALSE,0.483,264984563,ab-35189072,Apartment
18.47585,-66.27582,Dorado,"San Juan-Carolina-Caguas, PR Metro Area",123.49,9509,FALSE,0.308,264994442,ab-35191834,Apartment
18.33915,-67.25357,Rincon,"Aguadilla-Isabela, PR Metro Area",189.92,26209,FALSE,0.441,126630924,ab-35192952,Condominium
